iter	Passed	Remaining
0	10	2135
1	20	2060
2	31	2058
3	41	2053
4	52	2048
5	62	2027
6	74	2048
7	86	2070
8	97	2066
9	108	2059
10	119	2054
11	130	2045
12	142	2048
13	153	2045
14	165	2043
15	175	2020
16	187	2016
17	198	2008
18	209	1999
19	221	1993
20	232	1979
21	242	1966
22	252	1943
23	263	1929
24	274	1919
25	284	1907
26	295	1891
27	305	1877
28	317	1869
29	328	1859
30	339	1848
31	349	1835
32	360	1823
33	371	1812
34	382	1803
35	393	1792
36	404	1780
37	415	1770
38	425	1758
39	437	1748
40	446	1732
41	457	1721
42	467	1707
43	478	1696
44	489	1684
45	500	1674
46	510	1662
47	521	1652
48	531	1638
49	542	1627
50	552	1613
51	562	1601
52	573	1590
53	584	1579
54	595	1570
55	606	1560
56	616	1546
57	626	1534
58	637	1523
59	647	1510
60	658	1501
61	669	1489
62	680	1479
63	692	1470
64	703	1461
65	714	1450
66	725	1440
67	736	1430
68	747	1419
69	758	1408
70	767	1395
71	779	1386
72	791	1376
73	802	1366
74	813	1355
75	825	1347
76	837	1338
77	850	1330
78	861	1319
79	871	1307
80	882	1295
81	892	1284
82	903	1274
83	915	1263
84	926	1253
85	938	1243
86	948	1232
87	960	1222
88	971	1211
89	981	1199
90	992	1188
91	1004	1178
92	1014	1167
93	1025	1156
94	1036	1146
95	1048	1136
96	1060	1126
97	1072	1116
98	1084	1106
99	1095	1095
100	1107	1085
101	1118	1074
102	1130	1064
103	1141	1053
104	1153	1043
105	1163	1032
106	1175	1021
107	1186	1010
108	1198	1000
109	1210	990
110	1221	979
111	1232	968
112	1244	958
113	1255	947
114	1267	936
115	1278	925
116	1289	914
117	1301	904
118	1312	893
119	1323	882
120	1335	871
121	1347	861
122	1359	850
123	1370	839
124	1381	828
125	1393	818
126	1404	807
127	1415	796
128	1426	785
129	1437	774
130	1448	763
131	1460	752
132	1470	741
133	1481	729
134	1492	718
135	1503	707
136	1514	696
137	1525	685
138	1537	674
139	1548	663
140	1560	652
141	1571	642
142	1582	630
143	1594	620
144	1605	609
145	1615	597
146	1626	586
147	1637	575
148	1648	564
149	1661	553
150	1672	542
151	1683	531
152	1694	520
153	1704	509
154	1715	497
155	1725	486
156	1737	475
157	1747	464
158	1759	453
159	1769	442
160	1780	431
161	1790	420
162	1801	408
163	1812	397
164	1823	386
165	1834	375
166	1845	364
167	1856	353
168	1867	342
169	1878	331
170	1889	320
171	1900	309
172	1911	298
173	1922	287
174	1934	276
175	1945	265
176	1956	254
177	1967	243
178	1977	232
179	1988	220
180	1999	209
181	2009	198
182	2020	187
183	2030	176
184	2042	165
185	2052	154
186	2062	143
187	2072	132
188	2083	121
189	2093	110
190	2103	99
191	2113	88
192	2124	77
193	2134	66
194	2144	54
195	2154	43
196	2164	32
197	2175	21
198	2186	10
199	2197	0
