,POS Diversity
0,0.75
1,0.29411764705882354
2,0.45
3,0.4166666666666667
4,0.5185185185185185
5,0.4
6,0.4666666666666667
7,0.3870967741935484
8,0.75
9,0.4
10,0.2857142857142857
11,0.5416666666666666
12,0.3333333333333333
13,0.40816326530612246
14,0.6666666666666666
15,0.3898305084745763
16,0.32727272727272727
17,0.28
18,0.5416666666666666
19,0.3387096774193548
20,0.3673469387755102
21,0.5652173913043478
22,0.7272727272727273
23,0.4411764705882353
24,0.5555555555555556
25,0.8461538461538461
26,0.5454545454545454
27,0.48484848484848486
28,0.39473684210526316
29,0.6666666666666666
30,0.19
31,0.5333333333333333
32,0.39473684210526316
33,0.4864864864864865
34,0.4
35,0.2597402597402597
36,0.26229508196721313
37,0.5357142857142857
38,0.3050847457627119
39,0.5172413793103449
40,0.29333333333333333
41,0.5909090909090909
42,0.42857142857142855
43,0.5238095238095238
44,0.8333333333333334
45,0.5909090909090909
46,0.23157894736842105
47,0.45714285714285713
48,0.22522522522522523
49,0.5652173913043478
50,0.40425531914893614
51,0.5333333333333333
52,0.2903225806451613
53,0.35294117647058826
54,0.7777777777777778
55,0.631578947368421
56,0.5
57,0.5384615384615384
58,0.5135135135135135
59,0.1590909090909091
60,0.5294117647058824
61,0.425
62,0.6428571428571429
63,0.24615384615384617
64,0.5714285714285714
65,0.5555555555555556
66,0.3170731707317073
67,0.5714285714285714
68,1.0
69,1.0
70,0.5172413793103449
71,0.9
72,0.7777777777777778
73,0.5238095238095238
74,0.6842105263157895
75,0.8181818181818182
76,0.7692307692307693
77,0.26865671641791045
78,0.5294117647058824
79,0.8571428571428571
80,0.48
81,0.37777777777777777
82,0.5161290322580645
83,0.5833333333333334
84,0.2537313432835821
85,0.23943661971830985
86,0.42857142857142855
87,0.5555555555555556
88,0.4358974358974359
89,0.37735849056603776
90,0.25
91,0.7272727272727273
92,0.6923076923076923
93,0.7692307692307693
94,0.7058823529411765
95,1.0
96,0.40540540540540543
97,0.625
98,0.46875
99,0.29333333333333333
100,0.5217391304347826
101,0.5185185185185185
102,0.5
103,0.375
104,0.6666666666666666
105,0.5238095238095238
106,0.4375
107,0.8181818181818182
108,0.75
109,0.45454545454545453
110,0.3902439024390244
111,0.6153846153846154
112,0.5833333333333334
113,0.4878048780487805
114,1.0
115,0.5263157894736842
116,0.5833333333333334
117,1.0
118,0.8571428571428571
119,0.21739130434782608
120,0.7333333333333333
121,0.7272727272727273
122,0.8181818181818182
123,0.4444444444444444
124,0.6
125,0.6666666666666666
126,0.5789473684210527
127,0.5263157894736842
128,0.6666666666666666
129,1.0
130,0.7619047619047619
131,0.3617021276595745
132,0.3269230769230769
133,0.45714285714285713
134,0.6666666666666666
135,1.0
136,0.4782608695652174
137,0.5
138,0.6666666666666666
139,0.4
140,0.7142857142857143
141,0.47058823529411764
142,0.35294117647058826
143,1.0
144,0.8333333333333334
145,1.0
146,0.5294117647058824
147,0.5454545454545454
148,0.6923076923076923
149,0.6666666666666666
150,0.7777777777777778
151,0.52
152,0.4
153,0.7
154,0.4375
155,0.7
156,0.2878787878787879
157,0.5
158,1.0
159,0.5185185185185185
160,0.5333333333333333
161,0.5217391304347826
162,0.75
163,0.4
164,0.7857142857142857
165,0.9166666666666666
166,0.75
167,0.25555555555555554
168,0.3469387755102041
169,0.26666666666666666
170,0.35294117647058826
171,0.7857142857142857
172,0.75
173,0.7142857142857143
174,0.43478260869565216
175,0.5
176,0.7692307692307693
177,0.36363636363636365
178,0.2898550724637681
179,0.4074074074074074
180,0.5
181,0.40625
182,0.5384615384615384
183,0.6842105263157895
184,0.35
185,1.0
186,0.5
187,0.4666666666666667
188,1.0
189,0.5882352941176471
190,0.41935483870967744
191,0.6875
192,0.8461538461538461
193,0.56
194,0.23684210526315788
195,0.46808510638297873
196,0.26229508196721313
197,0.3783783783783784
198,0.5263157894736842
199,0.375
200,0.45714285714285713
201,0.631578947368421
202,0.4642857142857143
203,0.7857142857142857
204,0.5625
205,0.6111111111111112
206,0.4074074074074074
207,0.5
208,0.6521739130434783
209,0.5
210,0.6
211,0.75
212,0.7
213,0.8181818181818182
214,0.5454545454545454
215,0.8888888888888888
216,0.6086956521739131
217,0.2641509433962264
218,0.5454545454545454
219,1.0
220,0.20253164556962025
221,0.19047619047619047
222,0.43243243243243246
223,0.425531914893617
224,0.3333333333333333
225,0.32857142857142857
226,0.23255813953488372
227,0.4473684210526316
228,0.8333333333333334
229,0.75
230,0.5909090909090909
231,0.24242424242424243
232,0.4
233,0.425
234,0.5416666666666666
235,0.2804878048780488
236,0.38181818181818183
237,0.4318181818181818
238,0.8181818181818182
239,0.35555555555555557
240,0.38235294117647056
241,0.2564102564102564
242,1.0
243,0.37037037037037035
244,0.43243243243243246
245,0.42857142857142855
246,0.7333333333333333
247,0.9285714285714286
248,0.625
249,0.36585365853658536
250,0.6206896551724138
251,0.36
252,0.5483870967741935
253,0.29508196721311475
254,0.37254901960784315
255,0.32558139534883723
256,0.2247191011235955
257,0.7142857142857143
258,0.6153846153846154
259,0.33962264150943394
260,1.0
261,0.4186046511627907
262,0.7142857142857143
263,1.0
264,0.358974358974359
265,0.36363636363636365
266,0.6470588235294118
267,0.21782178217821782
268,0.45454545454545453
269,0.38461538461538464
270,0.625
271,0.44
272,0.8461538461538461
273,0.34146341463414637
274,0.6
275,0.5909090909090909
276,0.5
277,0.7
278,0.625
279,0.4166666666666667
280,0.37777777777777777
281,0.3684210526315789
282,0.40425531914893614
283,0.3611111111111111
284,0.32142857142857145
285,0.42105263157894735
286,0.7368421052631579
287,0.3
288,0.2
289,0.48484848484848486
290,0.6470588235294118
291,0.4186046511627907
292,0.35294117647058826
293,0.7333333333333333
294,0.4
295,0.7272727272727273
296,0.7
297,0.5555555555555556
298,0.44
299,0.48484848484848486
300,0.36666666666666664
301,0.37142857142857144
302,0.625
303,1.0
304,0.6470588235294118
305,0.5217391304347826
306,0.5294117647058824
307,0.4482758620689655
308,0.4166666666666667
309,0.4666666666666667
310,0.4230769230769231
311,0.4117647058823529
312,0.42105263157894735
313,0.3902439024390244
314,0.7692307692307693
315,0.3953488372093023
316,0.5652173913043478
317,0.65
318,0.4642857142857143
319,0.7142857142857143
320,0.6923076923076923
321,0.4782608695652174
322,0.21739130434782608
323,1.0
324,1.0
325,1.0
326,0.8571428571428571
327,0.65
328,0.6206896551724138
329,0.47368421052631576
330,1.0
331,1.0
332,0.8125
333,0.8
334,0.4
335,1.0
336,0.5
337,0.5
338,0.4523809523809524
339,0.5454545454545454
340,0.8333333333333334
341,0.29508196721311475
342,0.8571428571428571
343,0.4838709677419355
344,0.5833333333333334
345,0.5
346,0.5
347,0.5238095238095238
348,0.275
349,1.0
350,0.42105263157894735
351,0.7142857142857143
352,0.4838709677419355
353,0.7272727272727273
354,0.5625
355,0.5789473684210527
356,0.41935483870967744
357,0.40625
358,0.43243243243243246
359,0.6666666666666666
360,0.425
361,0.41509433962264153
362,0.8571428571428571
363,0.2318840579710145
364,0.8333333333333334
365,0.4
366,0.4444444444444444
367,0.391304347826087
368,0.30952380952380953
