,Word Count
0,4
1,34
2,20
3,36
4,27
5,30
6,15
7,31
8,16
9,40
10,56
11,24
12,63
13,49
14,12
15,59
16,55
17,50
18,24
19,62
20,49
21,23
22,11
23,34
24,18
25,13
26,11
27,33
28,38
29,18
30,100
31,30
32,38
33,37
34,25
35,77
36,61
37,28
38,59
39,29
40,75
41,22
42,42
43,21
44,6
45,22
46,95
47,35
48,111
49,23
50,47
51,15
52,62
53,51
54,9
55,19
56,22
57,26
58,37
59,132
60,17
61,40
62,14
63,65
64,28
65,18
66,41
67,28
68,4
69,3
70,29
71,10
72,9
73,21
74,19
75,11
76,13
77,67
78,17
79,7
80,25
81,45
82,31
83,12
84,67
85,71
86,35
87,9
88,39
89,53
90,72
91,11
92,13
93,13
94,17
95,4
96,37
97,8
98,32
99,75
100,23
101,27
102,32
103,48
104,12
105,21
106,32
107,11
108,8
109,33
110,41
111,13
112,12
113,41
114,3
115,19
116,12
117,3
118,7
119,92
120,15
121,11
122,11
123,27
124,20
125,6
126,19
127,19
128,12
129,12
130,21
131,47
132,52
133,35
134,18
135,3
136,23
137,28
138,3
139,10
140,21
141,34
142,34
143,5
144,12
145,3
146,17
147,22
148,13
149,12
150,9
151,25
152,45
153,10
154,32
155,10
156,66
157,30
158,2
159,27
160,30
161,23
162,12
163,40
164,14
165,12
166,8
167,90
168,49
169,60
170,51
171,14
172,16
173,14
174,23
175,18
176,13
177,55
178,69
179,27
180,32
181,32
182,13
183,19
184,40
185,6
186,26
187,30
188,8
189,17
190,31
191,16
192,13
193,25
194,76
195,47
196,61
197,37
198,19
199,48
200,35
201,19
202,28
203,14
204,32
205,18
206,27
207,36
208,23
209,22
210,20
211,16
212,10
213,11
214,22
215,9
216,23
217,53
218,33
219,2
220,79
221,84
222,37
223,47
224,51
225,70
226,86
227,38
228,6
229,4
230,22
231,66
232,40
233,40
234,24
235,82
236,55
237,44
238,22
239,45
240,34
241,78
242,5
243,54
244,37
245,42
246,15
247,14
248,16
249,41
250,29
251,50
252,31
253,61
254,51
255,43
256,89
257,14
258,13
259,53
260,8
261,43
262,14
263,9
264,39
265,55
266,17
267,101
268,22
269,26
270,24
271,25
272,13
273,41
274,20
275,22
276,16
277,10
278,8
279,48
280,45
281,38
282,47
283,36
284,56
285,38
286,19
287,60
288,90
289,33
290,17
291,43
292,51
293,15
294,40
295,11
296,10
297,9
298,25
299,33
300,30
301,35
302,8
303,3
304,17
305,23
306,17
307,29
308,24
309,30
310,26
311,34
312,38
313,41
314,13
315,43
316,23
317,20
318,28
319,14
320,13
321,23
322,92
323,2
324,7
325,2
326,7
327,20
328,29
329,38
330,5
331,6
332,16
333,10
334,30
335,8
336,24
337,30
338,42
339,11
340,6
341,61
342,7
343,31
344,12
345,36
346,22
347,21
348,80
349,7
350,38
351,14
352,31
353,11
354,16
355,19
356,31
357,32
358,37
359,18
360,40
361,53
362,14
363,69
364,12
365,40
366,27
367,46
368,42
369,63
370,62
371,22
372,47
373,53
374,28
375,24
376,40
377,43
378,14
379,21
380,19
381,20
382,27
383,16
384,20
385,11
386,9
387,12
388,3
389,12
390,23
391,16
392,11
393,11
394,62
395,92
396,67
397,8
398,52
399,48
400,28
401,17
402,51
403,49
404,16
405,7
406,12
407,27
408,75
409,28
410,8
411,29
412,25
413,29
414,12
415,38
416,51
417,34
418,44
419,27
420,33
421,4
422,15
423,12
424,12
425,10
426,15
427,11
428,17
429,16
430,5
431,24
432,5
433,5
434,22
435,41
436,41
437,115
438,25
439,19
440,52
441,26
442,31
443,18
444,34
445,44
446,4
447,2
448,28
449,7
450,13
451,14
452,12
453,41
454,40
455,8
456,49
457,19
458,24
459,36
460,48
461,21
462,36
463,24
464,29
465,20
466,28
467,51
468,45
469,26
470,35
471,45
472,30
473,12
474,46
475,44
476,57
477,20
478,78
479,37
480,113
481,44
482,43
483,18
484,42
485,32
486,31
487,148
488,56
489,11
490,21
491,34
492,65
493,9
494,40
495,12
496,51
497,41
498,50
499,29
500,56
501,42
502,30
503,77
504,22
505,47
506,75
507,38
508,42
509,39
510,56
511,13
512,38
513,14
514,39
515,19
516,132
517,39
518,52
519,41
520,17
521,30
522,43
523,7
524,11
525,3
526,6
527,7
528,39
529,31
530,16
531,22
532,15
533,8
534,31
535,21
536,14
537,20
538,16
539,15
540,8
541,28
542,29
543,17
544,23
545,12
546,51
547,65
548,25
549,92
550,40
551,70
552,39
553,35
554,9
555,34
556,19
557,60
558,45
559,10
560,12
561,13
562,41
563,3
564,19
565,8
566,11
567,83
568,18
569,33
570,68
571,15
572,3
573,4
574,20
575,63
576,49
577,27
578,11
579,13
580,20
581,9
582,12
583,20
584,46
585,80
586,61
587,17
588,28
589,14
590,10
591,4
592,39
593,66
594,44
595,85
596,64
597,61
598,5
599,10
600,5
601,67
602,25
603,11
604,22
605,12
606,43
607,27
608,42
609,20
610,27
611,31
612,13
613,34
614,16
615,34
616,28
617,32
618,33
619,27
620,46
621,12
622,60
623,25
624,79
625,13
626,42
627,63
628,21
629,26
630,15
631,38
632,31
633,6
634,29
635,22
636,47
637,18
638,16
639,12
640,41
641,13
642,8
643,37
644,16
645,3
646,17
647,25
648,8
649,22
650,14
651,24
652,7
653,29
654,4
655,14
656,39
657,20
658,18
659,7
660,6
661,7
662,11
663,14
664,16
665,6
666,8
667,41
668,18
669,9
670,10
671,18
672,23
673,34
674,124
675,23
676,55
677,38
678,30
679,41
680,76
681,9
682,27
683,25
684,27
685,32
686,30
687,54
688,42
689,28
690,21
691,20
692,22
693,10
694,32
695,7
696,54
697,27
698,10
699,32
700,12
701,19
702,3
703,20
704,22
705,15
706,5
707,12
708,16
709,26
710,35
711,27
712,53
713,25
714,6
715,14
716,32
717,9
718,9
719,51
720,20
721,18
722,15
723,12
724,3
725,7
726,15
727,32
728,49
729,12
730,17
731,23
732,42
733,51
734,51
735,7
736,67
737,30
738,52
739,30
740,18
741,22
742,8
743,49
744,8
745,32
746,25
747,17
748,10
749,29
750,76
751,31
752,6
753,6
754,77
755,25
756,28
757,21
758,60
759,52
760,13
761,10
762,73
763,23
764,8
765,43
766,31
767,13
768,24
769,75
770,9
771,32
772,15
773,44
774,37
775,40
776,30
777,46
778,42
779,57
780,62
781,8
782,26
783,28
784,83
785,53
786,5
787,46
788,56
789,66
790,21
791,45
792,19
793,25
794,23
795,17
796,144
797,23
798,35
799,31
800,43
801,21
802,26
803,45
804,18
805,65
806,37
807,67
808,17
809,39
810,9
811,3
812,69
813,57
814,13
815,40
816,6
817,18
818,6
819,27
820,29
821,51
822,12
823,49
824,17
825,52
826,13
827,7
828,5
829,8
830,25
831,56
832,13
833,6
834,21
835,17
836,4
837,40
838,66
839,8
840,8
841,9
842,65
843,9
844,9
845,8
846,6
847,17
848,3
849,41
850,27
851,5
852,35
853,10
854,21
855,25
856,15
857,8
858,6
859,8
860,8
861,44
862,50
863,39
864,24
865,25
866,94
867,21
868,47
869,29
870,27
871,37
872,12
873,22
874,29
875,30
876,40
877,29
878,25
879,54
880,42
881,13
882,18
883,11
884,10
885,7
886,48
887,11
888,22
889,11
890,47
891,10
892,40
893,25
894,35
895,16
896,21
897,48
898,45
899,11
900,9
901,13
902,32
903,6
