Word,Frequency
the,13680
i,12956
and,12028
to,10400
of,8663
a,7781
in,6180
was,5285
my,5184
that,5166
it,4682
her,3831
me,3562
he,3510
you,3467
with,3348
as,3156
had,3052
said,2941
his,2927
she,2665
at,2646
for,2536
mr,2474
have,2388
on,2331
but,2146
be,2008
not,1971
is,1716
so,1684
him,1681
when,1646
if,1524
all,1504
we,1462
this,1407
by,1404
what,1291
which,1270
were,1261
no,1210
been,1104
there,1092
out,1091
little,1090
from,1060
or,1004
very,995
would,993
an,945
do,894
one,885
up,873
am,860
could,858
upon,798
know,783
more,778
micawber,768
aunt,754
into,753
they,748
are,721
now,718
miss,710
peggotty,701
mrs,671
any,665
some,664
never,661
who,658
should,656
much,652
about,647
time,642
them,637
old,626
made,621
then,611
how,608
like,607
down,606
say,600
our,592
before,585
think,581
than,579
your,572
dear,569
come,562
see,551
us,550
well,550
went,549
myself,544
being,542
such,538
good,533
its,525
will,516
copperfield,510
dont,504
again,499
traddles,490
hand,484
head,477
did,466
came,458
dora,447
thought,443
agnes,442
after,441
away,439
face,436
sir,432
ever,425
has,423
might,419
over,418
go,407
way,406
saw,404
too,403
own,402
quite,402
here,399
back,397
where,387
mother,386
great,386
other,385
long,382
looking,377
looked,376
returned,374
first,373
can,370
house,370
day,368
man,367
may,364
room,363
oh,362
steerforth,359
must,355
always,355
going,351
night,350
only,349
eyes,349
took,338
take,331
nothing,328
mind,326
another,325
their,325
put,322
without,320
two,316
home,314
himself,312
look,311
make,306
murdstone,297
life,296
got,295
these,288
young,285
still,280
sat,267
found,267
done,264
though,264
better,264
last,260
anything,260
felt,259
love,259
while,257
off,255
same,255
something,251
many,250
door,248
told,248
knew,247
heart,244
shall,242
seemed,239
having,236
place,236
doctor,235
through,235
until,231
most,231
even,231
yes,230
why,228
dick,227
left,225
tell,223
morning,216
uriah,216
hands,215
every,212
friend,211
once,211
seen,209
believe,209
sure,209
replied,209
both,206
yet,201
those,201
asked,200
between,199
hope,198
manner,197
round,195
master,192
herself,191
let,190
cried,186
poor,186
right,184
gave,184
gone,184
emly,183
whom,179
happy,178
really,178
fire,178
name,177
give,176
thing,175
soon,174
since,173
indeed,173
turned,171
heard,171
find,170
under,169
because,166
wickfield,166
evening,165
moment,164
davy,164
towards,164
boy,163
voice,160
world,159
course,159
people,158
state,158
whether,155
began,154
pretty,154
used,153
enough,153
perhaps,153
else,153
among,152
together,152
mine,151
short,150
ill,148
against,147
side,147
next,147
rather,146
barkis,146
new,146
child,145
word,145
hear,145
remember,145
trotwood,144
best,144
get,144
half,143
family,143
just,143
words,142
part,142
three,141
leave,141
thats,140
woman,139
work,139
suppose,139
whole,138
kind,137
far,137
taken,136
light,136
mean,136
money,136
observed,135
bed,134
ham,134
want,133
stood,133
times,133
near,132
years,131
spenlow,131
present,130
sometimes,130
speak,129
sitting,129
glad,129
air,128
walked,128
coming,128
brought,128
letter,127
making,127
strong,125
arm,122
table,122
days,121
deal,121
taking,121
things,120
doubt,120
window,120
called,120
sort,119
wish,118
hair,118
afraid,118
afterwards,117
behind,116
keep,115
lady,115
call,115
set,114
im,114
heep,113
within,113
subject,113
often,112
fellow,112
masr,112
gentleman,110
omer,110
least,110
dinner,110
help,110
shook,109
chair,109
creakle,109
almost,108
alone,108
ask,107
cant,107
few,107
known,106
hour,106
girl,106
business,106
gummidge,106
says,105
feel,105
tears,105
wife,103
couldnt,103
along,103
lay,103
full,102
answered,102
however,102
matter,101
appeared,101
school,101
sister,100
married,100
became,100
read,100
kept,100
account,99
london,99
didnt,99
feeling,98
passed,98
father,98
hard,98
theres,97
care,94
wouldnt,94
idea,93
pleasure,93
loved,93
less,93
arms,93
thinking,92
corner,92
shaking,92
each,91
maam,91
jip,91
boys,91
held,91
street,90
sea,90
micawbers,89
rest,89
doing,88
yourself,88
opinion,88
cannot,88
eye,87
low,87
mills,87
aint,86
crupp,86
spoke,86
please,85
open,85
certain,85
bear,85
hardly,85
except,85
trot,85
dark,85
betsey,85
end,84
sorry,84
doctors,84
quiet,84
occasion,84
company,84
laid,83
everything,83
fell,83
smile,82
does,82
change,81
case,81
person,81
thank,81
close,81
turn,81
standing,81
walk,81
usual,80
tried,80
small,80
ready,80
lived,79
understand,79
saying,79
confidence,79
road,79
dartle,78
lost,77
garden,77
wonder,77
youll,77
stopped,77
late,77
question,77
black,76
country,75
character,75
friends,75
laughing,74
aunts,74
peggottys,74
nature,74
large,74
putting,73
past,73
knows,73
seeing,72
town,72
annie,72
certainly,72
bad,72
walking,72
show,72
doent,71
red,71
bring,71
tea,71
reason,71
sleep,71
expression,70
david,70
given,70
write,70
coach,70
wind,70
water,69
parlour,69
umble,69
inquired,69
sit,69
ought,69
early,69
anybody,69
several,68
bless,68
office,68
immediately,68
possible,68
general,68
