Word,Frequency
by,1404
charles,15
dickens,2
this,1407
ebook,16
is,1716
the,13680
product,2
of,8663
many,250
hours,67
hard,98
work,139
volunteers,2
for,2536
standard,6
ebooks,6
and,12028
builds,1
on,2331
other,385
literature,2
lovers,7
made,621
possible,68
public,28
domain,11
particular,47
based,2
a,7781
transcription,2
from,1060
project,9
gutenberg,2
digital,2
scans,2
internet,2
archive,2
source,10
text,7
artwork,6
in,6180
are,721
believed,67
to,10400
be,2008
united,15
states,9
that,5166
they,748
free,36
copyright,8
restrictions,2
may,364
still,280
copyrighted,2
countries,6
so,1684
users,1
located,2
outside,66
must,355
check,11
their,325
local,9
laws,7
before,585
using,7
creators,1
contributors,2
dedicate,1
contributions,2
worldwide,2
via,1
terms,31
cc,2
universal,6
dedication,4
full,102
license,1
information,22
see,551
uncopyright,3
at,2646
end,84
volunteerdriven,2
produces,1
editions,1
modern,5
typography,2
technology,1
editorial,1
standards,1
distributes,1
them,637
cost,15
you,3467
can,370
download,2
carefully,16
produced,25
true,63
book,64
standardebooksorg,2
i,12956
do,894
not,1971
find,170
it,4682
easy,28
get,144
sufficiently,18
far,137
away,439
first,373
sensations,4
having,236
finished,31
refer,25
with,3348
composure,14
which,1270
formal,8
heading,2
would,993
seem,40
require,16
my,5184
interest,62
recent,7
strong,125
mind,326
divided,11
between,199
pleasure,93
regretpleasure,2
achievement,2
long,382
design,8
regret,21
separation,18
companionsthat,2
am,860
danger,15
wearying,2
reader,7
whom,179
love,259
personal,21
confidences,6
private,31
emotions,13
besides,44
all,1504
could,858
say,600
story,49
any,665
purpose,66
have,2388
endeavoured,15
concern,8
little,1090
perhaps,153
know,783
how,608
sorrowfully,14
pen,31
laid,83
down,606
close,81
twoyears,2
imaginative,5
task,14
or,1004
an,945
author,5
feels,5
as,3156
if,1524
he,3510
were,1261
dismissing,6
some,664
portion,14
himself,312
into,753
shadowy,8
world,159
when,1646
crowd,14
creatures,16
his,2927
brain,6
going,351
him,1681
forever,34
yet,201
nothing,328
else,153
tell,223
unless,39
indeed,173
confess,21
might,419
less,93
moment,164
no,1210
one,885
ever,425
believe,209
narrative,15
reading,39
more,778
than,579
writing,44
instead,60
looking,377
back,397
therefore,54
will,516
look,311
forward,35
cannot,88
volume,7
agreeably,3
myself,544
hopeful,14
glance,45
towards,164
time,642
shall,242
again,499
put,322
forth,36
two,316
green,39
leaves,33
once,211
month,15
faithful,12
remembrance,53
genial,4
sun,38
showers,2
fallen,27
these,288
david,70
copperfield,510
me,3562
happy,178
london,99
october,1
remarked,24
original,17
preface,1
did,466
was,5285
said,2941
had,3052
avowals,1
present,130
day,368
now,718
only,349
take,331
confidence,79
books,44
like,607
best,144
easily,47
fond,31
parent,7
every,212
child,145
fancy,50
family,143
dearly,12
but,2146
parents,7
heart,244
hearts,17
favourite,28
name,177
affectionately,10
inscribed,4
hon,1
mr,2474
mrs,671
richard,2
watson,1
rockinghan,1
northamptonshire,1
born,32
whether,155
turn,81
out,1091
hero,4
own,402
life,296
station,21
held,91
anybody,69
pages,4
show,72
begin,42
beginning,37
record,8
been,1104
informed,42
